game,score,steps
867,20.0,1730
868,20.0,1719
869,15.0,2129
870,21.0,1750
871,21.0,1633
872,20.0,1748
873,20.0,1658
874,21.0,1633
875,21.0,1645
876,18.0,1906
877,20.0,1661
878,19.0,1804
879,21.0,1646
880,18.0,1911
881,17.0,1939
882,20.0,1661
883,20.0,1663
884,19.0,1747
885,17.0,1971
886,20.0,1734
887,21.0,1646
888,14.0,2113
889,21.0,1652
890,21.0,1629
891,19.0,1826
892,21.0,1630
893,20.0,1683
894,20.0,1661
895,13.0,2244
896,19.0,1808
897,16.0,2028
898,20.0,1661
899,18.0,1778
900,17.0,1944
901,21.0,1631
902,16.0,2034
903,21.0,1646
904,19.0,1776
905,20.0,1692
906,19.0,1833
907,21.0,1633
908,21.0,1633
909,17.0,1872
910,21.0,1631
911,17.0,1921
912,21.0,1647
913,18.0,1798
914,16.0,2030
915,18.0,1926
916,21.0,1634
917,21.0,1623
918,18.0,1842
919,20.0,1747
920,17.0,1997
921,20.0,1661
922,21.0,1628
923,17.0,1925
924,21.0,1648
925,14.0,2300
926,19.0,2016
927,19.0,1818
928,21.0,1628
929,17.0,1932
930,19.0,1751
931,18.0,1816
932,19.0,1732
933,19.0,1859
934,19.0,1808
935,21.0,1628
936,20.0,1659
937,16.0,2031
938,20.0,1725
939,20.0,1661
940,17.0,1874
941,21.0,1632
942,21.0,1629
943,18.0,1808
944,21.0,1648
945,21.0,1633
946,20.0,1660
947,20.0,1762
948,16.0,2068
949,21.0,1632
950,20.0,1697
951,18.0,1817
952,16.0,2000
953,19.0,1746
954,16.0,2031
955,21.0,1629
956,15.0,2086
957,17.0,1839
958,16.0,2003
959,19.0,1766
960,20.0,1679
961,19.0,1827
962,19.0,1757
963,21.0,1668
964,18.0,1930
965,21.0,1645
966,19.0,1808
967,18.0,1899
968,21.0,1646
969,17.0,1971
970,21.0,1633
971,20.0,1663
972,19.0,1729
973,21.0,1624
974,19.0,1696
975,20.0,1808
976,20.0,1664
977,20.0,1728
978,21.0,1632
979,21.0,1686
980,20.0,1723
981,15.0,2139
982,20.0,1788
983,16.0,2062
984,15.0,2321
985,19.0,1790
986,21.0,1652
987,20.0,1719
988,19.0,1702
989,21.0,1629
990,18.0,1901
991,17.0,1987
992,21.0,1653
993,19.0,1784
994,19.0,1806
995,19.0,1804
996,20.0,1725
997,12.0,2320
998,21.0,1648
999,21.0,1652
1000,18.0,1897
