game,score
1,28.0
2,35.0
3,33.0
4,71.0
5,36.0
6,43.0
7,50.0
8,71.0
9,39.0
10,40.0
11,36.0
12,30.0
13,25.0
14,68.0
15,49.0
16,25.0
17,71.0
18,49.0
19,40.0
20,53.0
21,71.0
22,17.0
23,52.0
24,61.0
25,25.0
26,68.0
27,37.0
28,49.0
29,66.0
30,61.0
31,25.0
32,23.0
33,41.0
34,51.0
35,28.0
36,49.0
37,37.0
38,47.0
39,49.0
40,25.0
41,62.0
42,49.0
43,49.0
44,25.0
45,70.0
46,25.0
47,49.0
48,69.0
49,27.0
50,71.0
51,33.0
52,26.0
53,25.0
54,50.0
55,55.0
56,23.0
57,49.0
58,33.0
59,71.0
60,31.0
61,36.0
62,40.0
63,39.0
64,36.0
65,23.0
66,36.0
67,35.0
68,49.0
69,29.0
70,71.0
71,31.0
72,25.0
73,29.0
74,35.0
75,44.0
76,35.0
77,25.0
78,25.0
79,49.0
80,34.0
81,26.0
82,36.0
83,38.0
84,71.0
85,47.0
86,49.0
87,71.0
88,35.0
89,17.0
90,36.0
91,35.0
92,50.0
93,36.0
94,50.0
95,26.0
96,23.0
97,36.0
98,25.0
99,35.0
100,37.0
101,71.0
102,40.0
103,16.0
104,44.0
105,36.0
106,35.0
107,39.0
108,71.0
109,50.0
110,65.0
111,36.0
112,50.0
113,25.0
114,49.0
115,42.0
116,71.0
117,49.0
118,33.0
119,36.0
120,36.0
121,25.0
122,20.0
123,30.0
124,25.0
125,24.0
126,49.0
127,49.0
128,49.0
129,32.0
130,40.0
131,20.0
132,59.0
133,23.0
134,30.0
135,49.0
136,28.0
137,42.0
138,36.0
139,28.0
140,71.0
141,71.0
142,41.0
143,22.0
144,28.0
145,47.0
146,49.0
147,25.0
148,69.0
149,35.0
150,71.0
151,25.0
152,35.0
153,50.0
154,38.0
155,28.0
156,19.0
157,43.0
158,49.0
159,28.0
160,32.0
161,19.0
162,23.0
163,42.0
164,44.0
165,68.0
166,25.0
167,49.0
168,27.0
169,45.0
170,57.0
171,58.0
172,25.0
173,35.0
174,22.0
175,69.0
176,49.0
177,25.0
178,25.0
179,40.0
180,56.0
181,71.0
182,68.0
183,35.0
184,25.0
185,38.0
186,36.0
187,34.0
188,71.0
189,44.0
190,25.0
191,41.0
192,71.0
193,28.0
194,25.0
195,49.0
196,29.0
197,30.0
198,49.0
199,26.0
200,31.0
201,25.0
202,22.0
203,37.0
204,40.0
205,71.0
206,38.0
207,49.0
208,38.0
209,31.0
210,50.0
211,25.0
212,32.0
213,50.0
214,39.0
215,51.0
216,41.0
217,49.0
218,71.0
219,71.0
220,40.0
