game,score
1,82.0
2,65.0
3,50.0
4,53.0
5,69.0
6,122.0
7,120.0
8,50.0
9,182.0
10,62.0
11,65.0
12,265.0
13,40.0
14,46.0
15,50.0
16,53.0
17,76.0
18,264.0
19,105.0
20,44.0
21,209.0
22,72.0
23,42.0
24,36.0
25,50.0
26,79.0
27,107.0
28,74.0
29,289.0
30,57.0
31,75.0
32,69.0
33,47.0
34,289.0
35,69.0
36,51.0
37,82.0
38,49.0
39,76.0
40,53.0
41,77.0
42,63.0
43,70.0
44,324.0
45,47.0
46,54.0
47,65.0
48,40.0
49,50.0
50,43.0
51,47.0
52,50.0
53,55.0
54,49.0
55,57.0
56,198.0
57,63.0
58,101.0
59,64.0
60,51.0
61,51.0
62,43.0
63,48.0
64,56.0
65,74.0
66,51.0
67,71.0
68,52.0
69,25.0
70,50.0
71,47.0
72,50.0
73,55.0
74,56.0
75,48.0
76,61.0
77,57.0
78,73.0
79,50.0
80,54.0
81,289.0
82,85.0
83,27.0
84,58.0
85,82.0
86,19.0
87,65.0
88,67.0
89,126.0
90,51.0
91,45.0
92,70.0
93,50.0
94,52.0
95,76.0
96,78.0
97,265.0
98,41.0
99,75.0
100,98.0
101,72.0
102,50.0
103,57.0
104,59.0
105,64.0
106,54.0
107,36.0
108,67.0
109,262.0
110,61.0
111,56.0
112,73.0
113,51.0
114,59.0
115,29.0
116,80.0
117,65.0
118,72.0
119,68.0
120,78.0
121,28.0
122,52.0
123,63.0
124,56.0
125,43.0
126,144.0
127,61.0
128,73.0
129,77.0
130,199.0
131,60.0
132,80.0
133,13.0
134,61.0
135,58.0
136,80.0
137,202.0
138,79.0
139,89.0
140,73.0
141,86.0
142,85.0
143,46.0
144,41.0
145,73.0
146,292.0
147,47.0
148,80.0
149,380.0
150,51.0
151,55.0
152,55.0
153,80.0
154,43.0
155,42.0
156,48.0
157,80.0
158,62.0
159,80.0
160,75.0
161,43.0
162,270.0
163,79.0
164,79.0
165,58.0
166,61.0
167,113.0
168,63.0
169,67.0
170,80.0
171,34.0
172,59.0
173,69.0
174,59.0
175,90.0
176,75.0
177,44.0
178,58.0
179,93.0
180,50.0
181,39.0
182,70.0
183,44.0
184,272.0
185,44.0
186,57.0
187,102.0
188,13.0
189,74.0
190,318.0
191,51.0
192,68.0
193,105.0
194,165.0
195,73.0
196,69.0
197,58.0
198,52.0
199,75.0
200,31.0
201,90.0
202,83.0
203,50.0
204,77.0
205,62.0
206,264.0
207,66.0
208,49.0
209,71.0
210,81.0
211,48.0
212,77.0
213,61.0
214,46.0
215,76.0
216,49.0
217,192.0
218,76.0
219,61.0
220,50.0
221,79.0
222,50.0
223,36.0
224,68.0
225,28.0
226,27.0
227,92.0
228,59.0
229,67.0
230,90.0
231,79.0
232,83.0
233,50.0
234,54.0
235,82.0
236,240.0
237,33.0
238,63.0
239,29.0
240,43.0
241,51.0
242,324.0
243,29.0
244,51.0
245,252.0
246,60.0
247,54.0
248,86.0
249,89.0
250,49.0
251,61.0
252,48.0
253,243.0
254,47.0
255,67.0
256,44.0
257,78.0
258,54.0
259,40.0
260,51.0
261,69.0
262,59.0
263,95.0
264,74.0
265,46.0
266,156.0
267,51.0
268,79.0
269,51.0
270,67.0
271,71.0
272,54.0
273,62.0
274,74.0
275,39.0
276,54.0
277,112.0
278,79.0
279,39.0
280,58.0
281,68.0
282,79.0
283,54.0
284,63.0
285,73.0
286,210.0
287,59.0
288,50.0
289,54.0
290,66.0
291,48.0
292,85.0
293,64.0
294,92.0
295,51.0
296,60.0
297,79.0
298,50.0
299,52.0
300,42.0
301,47.0
302,71.0
303,61.0
304,80.0
305,68.0
306,57.0
307,37.0
308,63.0
309,52.0
310,58.0
311,67.0
312,50.0
313,51.0
314,60.0
315,50.0
316,54.0
317,62.0
318,82.0
319,50.0
320,56.0
321,80.0
322,80.0
323,74.0
324,50.0
325,42.0
326,239.0
327,110.0
328,49.0
329,73.0
330,39.0
331,68.0
332,62.0
333,39.0
334,63.0
335,27.0
336,78.0
337,91.0
338,84.0
339,73.0
340,31.0
341,77.0
342,43.0
343,49.0
344,200.0
345,45.0
346,88.0
347,47.0
348,59.0
349,52.0
350,80.0
351,74.0
352,73.0
353,32.0
354,42.0
355,90.0
356,276.0
357,72.0
358,67.0
359,70.0
360,33.0
361,50.0
362,59.0
363,299.0
364,54.0
365,69.0
366,100.0
367,86.0
368,72.0
369,90.0
370,28.0
371,59.0
372,84.0
373,239.0
374,47.0
375,54.0
376,86.0
377,90.0
378,73.0
379,72.0
380,37.0
381,38.0
382,76.0
383,79.0
384,80.0
385,75.0
386,80.0
387,54.0
388,96.0
389,73.0
390,16.0
391,57.0
392,52.0
393,105.0
394,100.0
395,54.0
396,70.0
397,84.0
398,64.0
399,75.0
400,51.0
401,68.0
402,81.0
403,68.0
404,72.0
405,50.0
406,64.0
407,95.0
408,79.0
409,77.0
410,91.0
411,79.0
412,61.0
413,30.0
414,40.0
415,50.0
416,51.0
417,83.0
418,68.0
419,50.0
420,61.0
421,97.0
422,42.0
423,83.0
424,72.0
425,33.0
426,238.0
427,47.0
428,73.0
429,42.0
430,41.0
431,35.0
432,46.0
433,52.0
434,64.0
435,52.0
436,47.0
437,52.0
438,46.0
439,25.0
440,49.0
441,33.0
442,85.0
443,58.0
444,69.0
445,30.0
446,79.0
447,82.0
448,79.0
449,50.0
450,51.0
451,91.0
452,41.0
453,37.0
454,33.0
455,70.0
456,53.0
457,42.0
458,51.0
459,50.0
460,101.0
461,87.0
462,69.0
463,50.0
464,87.0
465,45.0
466,88.0
467,265.0
468,48.0
469,37.0
470,59.0
471,64.0
472,62.0
473,52.0
474,69.0
475,47.0
476,79.0
477,79.0
478,50.0
479,54.0
480,77.0
481,50.0
482,57.0
483,46.0
