game,score
1,29.0
2,60.0
3,30.0
4,54.0
5,44.0
6,21.0
7,7.0
8,38.0
9,48.0
10,44.0
11,42.0
12,9.0
13,44.0
14,42.0
15,29.0
16,34.0
17,7.0
18,77.0
19,28.0
20,30.0
21,42.0
22,45.0
23,19.0
24,38.0
25,9.0
26,29.0
27,7.0
28,34.0
29,22.0
30,7.0
31,36.0
32,39.0
33,30.0
34,38.0
35,29.0
36,44.0
37,35.0
38,44.0
39,39.0
40,57.0
41,36.0
42,29.0
43,19.0
44,48.0
45,30.0
46,47.0
47,40.0
48,49.0
49,51.0
50,34.0
51,44.0
52,7.0
53,52.0
54,38.0
55,30.0
56,47.0
57,44.0
58,64.0
59,29.0
60,10.0
61,30.0
62,30.0
63,30.0
64,7.0
65,7.0
66,40.0
67,44.0
68,46.0
69,31.0
70,44.0
71,29.0
72,62.0
73,64.0
74,7.0
75,30.0
76,44.0
77,30.0
78,7.0
79,86.0
80,36.0
81,44.0
82,30.0
83,30.0
84,7.0
85,7.0
86,7.0
87,51.0
88,8.0
89,7.0
90,46.0
91,7.0
92,35.0
93,29.0
94,29.0
95,29.0
96,30.0
97,28.0
98,51.0
99,30.0
100,40.0
101,44.0
102,47.0
103,27.0
104,12.0
105,71.0
106,57.0
107,36.0
108,19.0
109,7.0
110,171.0
111,28.0
112,46.0
113,70.0
114,58.0
115,65.0
116,45.0
117,44.0
118,56.0
119,48.0
120,36.0
121,28.0
122,32.0
123,7.0
124,30.0
125,26.0
126,7.0
127,29.0
128,30.0
129,43.0
130,32.0
131,44.0
132,49.0
133,29.0
134,69.0
135,41.0
136,38.0
137,7.0
138,44.0
139,44.0
140,41.0
141,22.0
142,41.0
143,7.0
144,44.0
145,7.0
146,78.0
147,9.0
148,28.0
149,23.0
150,7.0
151,29.0
152,32.0
153,34.0
154,30.0
155,38.0
156,29.0
157,30.0
158,36.0
159,39.0
160,64.0
161,86.0
162,49.0
163,38.0
164,44.0
165,64.0
166,48.0
167,52.0
