game,score
1,109.0
2,103.0
3,117.0
4,215.0
5,55.0
6,82.0
7,59.0
8,194.0
9,238.0
10,46.0
11,280.0
12,78.0
13,61.0
14,65.0
15,85.0
16,63.0
17,35.0
18,62.0
19,121.0
20,109.0
21,117.0
22,77.0
23,78.0
24,194.0
25,78.0
26,78.0
27,57.0
28,81.0
29,183.0
30,39.0
31,292.0
32,187.0
33,45.0
34,52.0
35,90.0
36,78.0
37,66.0
38,62.0
39,72.0
40,93.0
41,51.0
42,52.0
43,84.0
44,78.0
45,194.0
46,67.0
47,194.0
48,59.0
49,58.0
50,64.0
51,62.0
52,234.0
53,61.0
54,78.0
55,109.0
56,275.0
57,55.0
58,76.0
59,29.0
60,45.0
61,73.0
62,78.0
63,203.0
64,55.0
65,235.0
66,235.0
67,235.0
68,85.0
69,64.0
70,135.0
71,81.0
72,74.0
73,78.0
74,235.0
75,77.0
76,66.0
77,235.0
78,72.0
79,78.0
80,247.0
81,62.0
82,37.0
83,81.0
84,78.0
85,61.0
86,64.0
87,78.0
88,46.0
89,50.0
90,73.0
91,88.0
92,103.0
93,91.0
94,61.0
95,67.0
96,25.0
97,234.0
98,267.0
99,102.0
100,27.0
101,52.0
102,48.0
103,71.0
104,92.0
105,52.0
106,66.0
107,235.0
108,235.0
109,116.0
110,283.0
111,118.0
112,242.0
113,194.0
114,225.0
115,70.0
116,53.0
117,207.0
118,185.0
119,55.0
120,194.0
121,77.0
122,265.0
123,41.0
124,94.0
125,177.0
126,203.0
127,77.0
128,60.0
129,78.0
130,92.0
131,99.0
132,61.0
133,194.0
134,63.0
135,51.0
136,84.0
137,63.0
138,81.0
139,25.0
140,235.0
141,33.0
142,64.0
143,37.0
144,107.0
145,25.0
146,78.0
147,235.0
148,38.0
149,287.0
150,75.0
151,235.0
152,221.0
153,235.0
154,175.0
155,85.0
156,46.0
157,273.0
158,35.0
159,77.0
160,301.0
161,132.0
162,194.0
163,27.0
164,235.0
165,73.0
166,40.0
167,194.0
168,118.0
169,77.0
170,109.0
171,102.0
172,48.0
173,105.0
174,49.0
175,89.0
176,207.0
177,76.0
178,272.0
179,88.0
180,194.0
181,93.0
182,43.0
183,40.0
184,70.0
185,85.0
186,103.0
187,73.0
188,81.0
189,49.0
190,63.0
191,59.0
192,80.0
193,58.0
194,69.0
195,194.0
196,27.0
197,85.0
198,37.0
199,177.0
200,94.0
201,46.0
202,78.0
203,52.0
204,64.0
205,78.0
206,109.0
207,44.0
208,56.0
209,81.0
210,235.0
211,47.0
212,74.0
213,89.0
214,244.0
215,48.0
216,77.0
217,83.0
218,242.0
219,70.0
220,75.0
221,229.0
222,69.0
223,235.0
224,235.0
225,39.0
226,82.0
227,235.0
228,49.0
229,61.0
230,97.0
231,74.0
232,194.0
233,61.0
234,33.0
235,57.0
236,59.0
237,66.0
238,214.0
239,83.0
240,62.0
241,61.0
242,235.0
243,90.0
244,78.0
245,287.0
246,283.0
247,55.0
248,54.0
249,87.0
250,194.0
251,65.0
252,78.0
253,244.0
254,47.0
255,194.0
256,245.0
257,133.0
258,214.0
259,201.0
260,72.0
261,78.0
262,194.0
263,86.0
264,325.0
265,42.0
266,78.0
267,49.0
268,44.0
269,92.0
270,58.0
271,194.0
272,95.0
273,65.0
274,59.0
275,71.0
276,61.0
277,72.0
278,207.0
279,75.0
280,74.0
281,110.0
282,87.0
283,57.0
284,75.0
285,76.0
286,92.0
287,17.0
288,84.0
289,69.0
290,26.0
291,78.0
292,78.0
293,54.0
294,49.0
295,194.0
296,78.0
297,70.0
298,78.0
299,85.0
300,142.0
301,109.0
302,235.0
303,194.0
304,65.0
305,194.0
306,235.0
307,65.0
308,65.0
309,56.0
310,57.0
311,60.0
312,61.0
313,58.0
314,69.0
315,189.0
316,72.0
317,66.0
318,84.0
319,51.0
320,235.0
321,76.0
322,78.0
323,44.0
324,100.0
325,61.0
326,203.0
327,311.0
328,51.0
329,131.0
330,96.0
331,61.0
332,36.0
333,78.0
334,42.0
335,61.0
336,58.0
337,235.0
338,66.0
339,84.0
340,57.0
341,84.0
342,283.0
343,252.0
344,179.0
345,50.0
346,194.0
347,24.0
348,212.0
349,105.0
350,108.0
351,235.0
352,229.0
353,59.0
354,76.0
355,102.0
356,39.0
357,78.0
358,76.0
359,207.0
360,273.0
361,72.0
362,55.0
363,49.0
364,61.0
365,77.0
366,49.0
367,62.0
368,242.0
369,235.0
370,61.0
371,235.0
372,49.0
373,194.0
374,67.0
375,32.0
376,78.0
377,234.0
378,61.0
379,132.0
380,70.0
381,189.0
382,86.0
383,78.0
384,113.0
385,62.0
386,45.0
387,61.0
388,194.0
389,237.0
390,61.0
391,63.0
392,55.0
393,47.0
394,235.0
395,194.0
396,235.0
397,71.0
398,82.0
399,194.0
400,78.0
401,98.0
402,87.0
403,51.0
404,194.0
405,61.0
406,325.0
407,81.0
408,26.0
409,78.0
410,309.0
411,61.0
412,31.0
413,194.0
414,78.0
415,108.0
416,57.0
417,31.0
418,33.0
419,78.0
420,55.0
421,65.0
422,58.0
423,58.0
424,117.0
425,81.0
426,76.0
427,78.0
428,74.0
429,194.0
430,235.0
431,45.0
432,87.0
433,59.0
434,87.0
435,85.0
436,57.0
437,88.0
438,78.0
439,78.0
440,202.0
441,194.0
442,297.0
443,89.0
444,84.0
445,89.0
446,77.0
447,50.0
448,69.0
449,194.0
450,28.0
451,54.0
452,89.0
453,70.0
454,194.0
455,62.0
456,195.0
457,114.0
458,78.0
459,84.0
460,64.0
461,34.0
462,194.0
463,86.0
464,40.0
465,68.0
466,88.0
467,194.0
468,62.0
469,45.0
470,66.0
471,232.0
472,82.0
473,22.0
474,194.0
475,194.0
476,42.0
477,55.0
478,272.0
479,237.0
480,64.0
481,78.0
482,30.0
483,61.0
484,37.0
485,78.0
486,199.0
487,58.0
488,79.0
489,194.0
490,95.0
491,61.0
492,235.0
493,47.0
494,80.0
495,89.0
496,109.0
497,78.0
498,84.0
499,62.0
500,77.0
501,61.0
502,35.0
503,89.0
504,79.0
505,54.0
506,58.0
507,52.0
508,235.0
509,283.0
510,194.0
511,78.0
512,203.0
513,72.0
514,22.0
515,78.0
516,43.0
517,243.0
518,78.0
519,83.0
520,40.0
521,55.0
522,41.0
523,70.0
524,82.0
525,38.0
526,194.0
527,107.0
528,228.0
529,84.0
530,45.0
531,64.0
532,194.0
533,78.0
534,61.0
535,266.0
536,34.0
537,41.0
538,194.0
539,221.0
540,60.0
541,54.0
542,57.0
543,86.0
544,184.0
545,194.0
546,242.0
547,70.0
548,57.0
549,194.0
550,97.0
551,194.0
552,235.0
553,53.0
554,58.0
555,121.0
556,234.0
557,66.0
558,104.0
559,61.0
560,97.0
561,52.0
562,64.0
563,50.0
564,66.0
